Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
CO;GO;PORANGATU;FERREIRA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 08.381.059/0006-93;RODOVIA BR 153;SN;KM    58;ZONA RURAL;76550-000;ETANOL;02/01/2026;4,79;;R$ / litro;VIBRA
CO;GO;PORANGATU;HS - DERIVADOS DE PETROLEO LTDA; 02.513.158/0001-90;AVENIDA ADELINO AMERICO DE AZEVEDO;163;;CENTRO;76550-000;GASOLINA;02/01/2026;6,39;;R$ / litro;BRANCA
CO;GO;PORANGATU;HS - DERIVADOS DE PETROLEO LTDA; 02.513.158/0001-90;AVENIDA ADELINO AMERICO DE AZEVEDO;163;;CENTRO;76550-000;DIESEL;02/01/2026;5,89;;R$ / litro;BRANCA
CO;GO;PORANGATU;HS - DERIVADOS DE PETROLEO LTDA; 02.513.158/0001-90;AVENIDA ADELINO AMERICO DE AZEVEDO;163;;CENTRO;76550-000;DIESEL S10;02/01/2026;5,99;;R$ / litro;BRANCA
CO;GO;PORANGATU;HS - DERIVADOS DE PETROLEO LTDA; 02.513.158/0001-90;AVENIDA ADELINO AMERICO DE AZEVEDO;163;;CENTRO;76550-000;ETANOL;02/01/2026;4,69;;R$ / litro;BRANCA
NE;MA;PRESIDENTE DUTRA;POSTO DE COMBUSTIVEIS BINE SOARES LTDA; 02.682.322/0001-93; BR 226 KM 01;100;;PARANUA;65760-000;GASOLINA;02/01/2026;5,96;;R$ / litro;SP
NE;MA;PRESIDENTE DUTRA;POSTO DE COMBUSTIVEIS BINE SOARES LTDA; 02.682.322/0001-93; BR 226 KM 01;100;;PARANUA;65760-000;DIESEL;02/01/2026;5,79;;R$ / litro;SP
NE;MA;PRESIDENTE DUTRA;POSTO DE COMBUSTIVEIS BINE SOARES LTDA; 02.682.322/0001-93; BR 226 KM 01;100;;PARANUA;65760-000;DIESEL S10;02/01/2026;5,80;;R$ / litro;SP
SE;MG;GUAXUPE;SAO PAULO MINAS COMERCIO DERIVADOS DE PETROLEO LTDA.; 05.282.048/0002-34;AVENIDA FELIPE ELIAS ZEITUNE;130;;CENTRO;37800-000;DIESEL S10;01/01/2026;5,99;;R$ / litro;BRANCA
SE;MG;GUAXUPE;SAO PAULO MINAS COMERCIO DERIVADOS DE PETROLEO LTDA.; 05.282.048/0002-34;AVENIDA FELIPE ELIAS ZEITUNE;130;;CENTRO;37800-000;ETANOL;01/01/2026;4,29;;R$ / litro;BRANCA
